course_id,subject_code,course_designation,full_course_designation,minimum_credits,maximum_credits,general_education,ethnic_studies,social_science,humanities,biological_science,physical_science,natural_science,literature,level,typically_offered,workplace_experience_description,grading_basis_description,open_to_first_year,repeatable_for_credit,status
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,H,,,,,E,,,,,,0
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,1
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,H,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,2
,,,,,,,,,,,,,,E,,,,,,0
