section_id,course_id,subject_code,catalog_number,instructors,status,available_seats,waitlist_total,capacity,enrolled,instruction_mode,is_asynchronous,section_requisites
,,,,Christopher Choi,OPEN,,,3,1,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,40,11,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,45,16,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,40,4,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,35,27,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,15,4,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,10,1,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,50,10,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,5,1,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,100,42,,,
,,,,"Stephanie Kann,Drew Graf",OPEN,,,5,1,,,
,,,,"Alicia Lee,Eleni Katz,Conor Nelson,Lindsay Flowers Koh,Walter Puyear",CLOSED,,,12,12,,,
,,,,Todd Hammes,OPEN,,,8,1,,,
,,,,Scott Teeple,OPEN,,,60,37,,,
,,,,Corey Pompey,OPEN,,,75,43,,,
,,,,"Corey Pompey,Herb Payung,Joshua Baker,Ben Grochowsky,R. Louis Vajda,Ryan Valdivia,Tanner Day,Spencer Hart,Tyler Schuster",OPEN,,,313,286,,,
,,,,"Scott Teeple,Ben Grochowsky,Tyler Schuster",OPEN,,,120,71,,,
,,,,"Scott Teeple,R. Louis Vajda",OPEN,,,120,101,,,
,,,,"Scott Teeple,Herb Payung",OPEN,,,120,97,,,
,,,,"Mariana De Oliveira Farah,Monica Bertrand",OPEN,,,60,33,,,
,,,,"Benjamin Hanson,Mariana De Oliveira Farah,Monica Bertrand",OPEN,,,100,94,,,
,,,,"Bert Pinsonneault,Benjamin Hanson,Mariana De Oliveira Farah,Monica Bertrand",OPEN,,,60,47,,,
,,,,"Mariana De Oliveira Farah,Alessio Tranchell",OPEN,,,120,70,,,
,,,,"Oriol Sans Arrufat,Heejo Yang,Ben Campbell,McKenna Taylor,Jun Lee,Jared Sierra",OPEN,,,105,63,,,
,,,,"Oriol Sans Arrufat,Heejo Yang,Ben Campbell,McKenna Taylor,Jun Lee,Jared Sierra",OPEN,,,105,95,,,
,,,,"Oriol Sans Arrufat,Jared Sierra",OPEN,,,80,77,,,
,,,,Ruocheng Yang,OPEN,,,50,47,,,
,,,,Anuk Dayaprema,OPEN,,,50,40,,,
,,,,Joanna Wangerin,WAITLISTED,,,39,39,,,
,,,,Joanna Wangerin,CLOSED,,,30,28,,,
,,,,Joanna Wangerin,CLOSED,,,40,38,,,
,,,,Joanna Wangerin,WAITLISTED,,,40,42,,,
,,,,Joanna Wangerin,CLOSED,,,40,39,,,
,,,,Joanna Wangerin,WAITLISTED,,,43,43,,,
,,,,Joanna Wangerin,CLOSED,,,40,39,,,
