subject_code,footnotes
112,"Anita Thompson, Chair, 115E Ag Engr, (608)262-3310"
207,"Enrollment or authorization problems? Please email: bme-enrollment@engr.wisc.edu

**If a course is full, please join the waitlist and watch your email for updates. We will monitor waitlists through the start of the semester**

Most BME classes are restricted to declared BME undergrad, grad, and Engineering guest/special students until Monday, December 1st at 12:00pm Central Time. 

All BME courses may have evening exams.

Paul Campagnola, Chair, 2130 Engineering Centers Bldg."
220,"Questions regarding course enrollments can be directed to Andrew Greenberg via 
cbe-enrollment@che.wisc.edu
Brian Pfleger, Chair, 2020 Engineering, (608)-890-1940

Due to capacity limits, enrollment priorities in CBE courses numbered 250 to 575, inclusive, are given to: (a) CBE students; (b) students in majors which require the course; (c) other students.   Department home page available with supplemental course information."
240,"For enrollment questions, please review notes below and ""Class Notes"". If you need assistance please e-mail cee-gle-enroll@engr.wisc.edu

If you would like to enroll in a course that is full, please use the wait list.

Enrollment in many CEE courses is limited to College of Engineering students and graduate students. 

All CEE courses may have evening exams.

Greg Harrington, Program Chair, 2205 Engineering Hall"
320,"Questions? Please review the notes below as well as ""Class Notes"" (by clicking on a course section).

*Enrollment in some courses will be restricted to College of Engineering students until Dec 1st by noon.

*Please read the ""Class Notes"" (by clicking on a course section) for enrollment details and restrictions of every course

* If a course is full, please join the waitlist and watch your email for updates. We monitor waitlists through the start of the semester.

* All ECE courses may have evening exams

Due to capacity limits the department cannot guarantee enrollment in any ECE courses even for ECE majors. When necessary, enrollment priority for students registering on schedule will be given to: 1) EE & CMPE majors, ECE graduate students & AMEP program students; 2) students admitted to another engineering major or PhD minor.

For enrollment questions:
- ECE students, please contact ece-enrollment@engr.wisc.edu 
- Non-ECE students: For authorization or enrollment issues contact ece-enrollment@engr.wisc.edu after Dec 1st.


Susan Hagness, ECE Department Chair, 2420 Engineering Hall"
346,"Questions? Please review the notes below as well as ""Class Notes"" (by clicking on a course section). Then contact aero-ema-enrollment@engr.wisc.edu if you still need assistance.

If a course is full, please join the waitlist and watch your email for updates. We will monitor waitlists through the start of the semester.

EMA 201, 202, 303, and 307 are initially only open to students in engineering majors. They will open to the rest of campus on Monday, December 1. See Class Notes for details.

All EMA courses may have evening exams.

Riccardo Bonazza, Program Chair, 2107 Mechanical Engineering Building"
418,"For enrollment questions, please review notes below and ""Class Notes"". If you need assistance please e-mail cee-gle-enroll@engr.wisc.edu

If you would like to enroll in a course that is full, please use the wait list.

Enrollment in many GLE courses is limited to College of Engineering students and graduate students. 

All GLE courses may have evening exams.

Jim Tinjum, Program Chair, 2205 Engineering Hall"
490,"Questions?  Please review the notes below as well as ""Class Notes"" (by clicking on a course section).  Contact enrollment@ie.wisc.edu if you still need assistance. 

If a course is full, please join the waitlist and watch your email for updates.  We will monitor waitlists through the start of the semester. 

Most ISyE classes are restricted to ISyE undergrad and grad students until Monday, December 1 at noon.   

Non-ISyE students: After December 1, for authorization or enrollment problems contact enrollment@ie.wisc.edu

ISyE courses may have evening exams.

Shiyu Zhou, Chair, 2370 Mechanical Engineering Building"
636,"Questions? Please review the notes below as well as ""Class Notes"" (by clicking on a course section). 

Contact mse-enrollment@engr.wisc.edu if you still need assistance.

If a course is full, please join the waitlist and watch your email for updates. We will monitor waitlists through the start of the semester.

All MSE courses may have evening exams.

Izabela Szlufarska, Department Chair, 262 Materials Science Building"
612,"200-400 level courses will have enrollment restrictions until December 1st at noon. Please check the section-level requisites on each course for additional information.

400-level and above courses will have other enrollment restrictions on a class-by-class basis.

If you'd like to get into a course that is currently full, please use the waitlist. For enrollment concerns not related to a waitlist, please email me-enroll@engr.wisc.edu.

All ME courses may have evening exams.

Darryl Thelen, Program Chair, 2107 Mechanical Engineering Building"
684,"Questions? Please review the notes below as well as ""Class Notes"" (by clicking on a course section). Then contact neep-enrollment@engr.wisc.edu if you still need assistance.

If a course is full, please join the waitlist and watch your email for updates. We will monitor waitlists through the start of the semester.

All NE courses may have evening exams.

Paul Wilson, Department Chair, 151 Engineering Research Building"
664,"School of Music, 3561 Humanities, (608)263-1900

Read all prerequisites, enrollment requirements, class notes, & subject notes published in Class Search.  Also see www.music.wisc.edu for more information.

Mus Perf courses are generally filled by music majors.  The School of Music offers private music lessons (not for university credit & with separate costs) for non-music majors through the Community Music Lessons program at 263-1923.  Class piano 101-104 and fundamentals courses are open to music majors only.  Private lessons at 200 level & above require add'l weekly master classes; contact instructor for details."
660,"School of Music, 3561 Humanities, (608)263-1900

Read all prerequisites, enrollment requirements, class notes, & subject notes.  Also see www.music.wisc.edu for more information.

The School of Music does not maintain waiting lists for closed classes.  Students may show up on the first day of classes and speak with the instructor at that time.  For courses requiring audition, go to www.music.wisc.edu and select ""Ensembles"" link.  Courses with no day/time listing will be arranged via the instructor; contact instructor for details."
600,"--Adequate placement scores or prerequisite course required for enrollment.
--Enrollment problems concerning unavailable or closed sections: Add section to the wait list if available. For registration issues, please email enrollment@math.wisc.edu.
--To arrange a Math placement test, see www.testing.wisc.edu.
--For placement, retake of the placement test, or ineligibility questions, email enrollment@math.wisc.edu.
Jean-Luc Thiffeault, Department Chair
Mathematics Department"
232,"The WSB has standardized the waitlist process.  Students looking to access a closed class should put their name on the waitlist and waitlists will be processed on a first-come first-served basis.  The only exception is GEN BUS 306, for which business students will be given priority.  If you need assistance adding yourself to the waitlist or if you wish to request an exception to the first-come, first-served process, please use this link to request permission: 
         https://go.wisc.edu/busenroll 

Please note that any requests for an exception to the first-come, first-served waitlist processing will be verified through advising.  

All undergraduate Business courses are restricted to admitted Business students and Certificate in Business students declared prior to Spring 2025 (does not include Certificates in Entrepreneurship, Consulting, Accounting Fundamentals, Risk Management and Insurance, or Summer Certificate in Business Fundamentals) until 8 AM (CST) May 1, 2025 for fall enrollment and 8 AM (CST) December 9, 2025 for spring enrollment, unless otherwise noted. ACCT I S 300 is not restricted.

Certificate in Business students declared after Spring 2025 will gain access to ACCT I S 100, M H R 300, FINANCE 300, MARKETNG 300, OTM 300, REAL EST 306, and R M I 300 at least 3 days prior to the noted open enrollment date. Spring 2026 enrollment date for CIB is December 4, 2025."
104,"Questions? Please contact Andrew Bartsch, Advisor:  apbartsch@wisc.edu or (608) 262-2041"
140,"Denise Wiyaka, Associate Director, 317 Ingraham Hall, (608)263-5501"
168,"If class is closed, please enroll onto waitlists prior to contacting Art Department staff. For consideration of requisite waiver, follow instructions here:
Graduate students contact Branden Martz, martz2@wisc.edu


Undergraduates art majors, certificate, and non-art majors contact artadvising@education.wisc.edu

For general information contact ArtFrontDesk@education.wisc.edu

Chair of Department, Prof Leslie Smith III

Art Dept classes require attendance - absences negatively affect grades. Prerequisites may be waived or reduced in many summer classes. Qualified non-majors please contact advisors listed above for consent-to-enroll. 

The Art Department now offers certificates in Studio Art and in Graphic Design. For more information go to art.wisc.edu/programs/undergraduate or write mmauk@wisc.edu

Variable credit courses: Undergraduates must enroll for higher # of credits, graduate students for the lower #.

Students enrolled for Art courses must provide basic materials used in course work and pay additional fees for materials provided by Art Dept. See class notes for fee amounts.  

Most 500-600 level courses can be repeated for credit."
185,"For more information about courses, majors, and certificates offered by the Department of Asian Languages and Cultures, see alc.wisc.edu

For concerns that cannot be answered by the course instructor, please contact the department's Student Services Coordinator: Rachel Weiss, rweiss@wisc.edu."
640,"Questions regarding undergraduate enrollment may be sent to:
Sabrina Manero at smanero@wisc.edu.

Questions regarding graduate enrollment may be sent to: Kaitlyn Heinlein at Kheinlein@wisc.edu

Department home page available with supplemental course information.  Please access through the list of departments at http://www.wisc.edu/academics/departments.php"
200,
208,"Department Chair: Anne Pringle, 132 Birge Hall

Please contact Curriculum Coordinator Mark Connolly (mark.connolly@wisc.edu) with course enrollment questions.

Descriptions of Botany classes are found at
https://botany.wisc.edu/botany-courses/"
250,"Questions regarding enrollment in Com Arts courses may be sent to:
registration@commarts.wisc.edu.

If you receive an error message when enrolling, first check to see if the course is initially reserved for majors or majors/certificate students. Students must enroll in sections they can attend."
