ID,LegacyID,FirstName,LastName,Department,AvgRating,NumRatings,AvgDifficulty,WouldTakeAgainPercent,CleanedFirstName,CleanedLastName,instructors,BestCourseMatch,MatchScore
VGVhY2hlci0zMDQ5MDk3,3049097,Matthew,Bloss,Mathematics,2.8,16,3.6,50.0,Matthew,Bloss,Matthew Bloss,,0
VGVhY2hlci0xNTEzOTkw,1513990,John,Orrock,Zoology,2.8,99,3.7,31.8182,John,Orrock,John Orrock,John Orrock,100
VGVhY2hlci0yNjIwMjgw,2620280,Kody,Habeck,Engineering,1.4,64,3.4,12.6984,Kody,Habeck,Kody Habeck,Kody Habeck,100
VGVhY2hlci0xNTc3ODkw,1577890,Rasmus,Lentz,Economics,3.6,55,4.0,80.7692,Rasmus,Lentz,Rasmus Lentz,Rasmus Lentz,100
VGVhY2hlci0yNzI2OTQx,2726941,Keith,Levin,Statistics,1.8,48,4.0,16.6667,Keith,Levin,Keith Levin,Keith Levin,100
VGVhY2hlci0yMzE2NDUw,2316450,Marc,Renault,Computer Science,2.7,123,4.1,41.4634,Marc,Renault,Marc Renault,Marc Renault,100
VGVhY2hlci04NTgyNzc=,858277,Alexander,Shashko,Ethnic Studies,4.8,175,2.0,95.5752,Alexander,Shashko,Alexander Shashko,Alexander Shashko,100
VGVhY2hlci0zNjgwNjI=,368062,Tina,Winston,Psychology,2.7,152,4.2,29.6703,Tina,Winston,Tina Winston,Tina Winston,100
VGVhY2hlci0yNTEwOTg2,2510986,Young,Wu,Computer Science,2.4,34,3.8,35.2941,Young,Wu,Young Wu,Young Wu,100
VGVhY2hlci0zMDY1Mzg1,3065385,James,Feldman,History,5.0,4,2.5,100.0,James,Feldman,James Feldman,James Feldman,100
VGVhY2hlci0xMjM4Njk2,1238696,Shanan,Peters,Geology,4.3,92,3.2,92.9825,Shanan,Peters,Shanan Peters,Shanan Peters,100
VGVhY2hlci0xMzY5OTA2,1369906,Timothy,YU,English,4.4,52,2.3,88.4615,Timothy,YU,Timothy YU,Timothy Yu,100
VGVhY2hlci0yNjU4OTI5,2658929,Jacob,Thebault-Spieker,Information Science,3.4,27,2.0,66.6667,Jacob,Thebault-Spieker,Jacob Thebault-Spieker,Jacob Thebault-Spieker,100
VGVhY2hlci0yOTUwNzE0,2950714,Tyler,Caraza-harter,Computer Science,4.1,8,3.0,75.0,Tyler,Caraza-harter,Tyler Caraza-harter,Tyler Caraza-Harter,100
VGVhY2hlci0zMDU4ODg0,3058884,Edgar,Valles,Education,5.0,4,2.3,100.0,Edgar,Valles,Edgar Valles,Edgar Valles,100
VGVhY2hlci05MzgzMjI=,938322,Kate,Merz,English,4.9,26,2.2,100.0,Kate,Merz,Kate Merz,,0
VGVhY2hlci0yMzIxMDc1,2321075,Kate,McCulloh,Biology,4.4,23,3.4,82.6087,Kate,McCulloh,Kate McCulloh,Kate McCulloh,100
VGVhY2hlci0xNTgzMDcx,1583071,Jeanne,Schueller,Languages,4.3,18,2.8,88.8889,Jeanne,Schueller,Jeanne Schueller,Jeanne Schueller,100
VGVhY2hlci0xOTQ2NTcz,1946573,Hiroshi,Maeda,Biology,4.6,18,2.8,100.0,Hiroshi,Maeda,Hiroshi Maeda,Hiroshi Maeda,100
VGVhY2hlci0yMTcxNTMy,2171532,Doug,Hadley,Architecture,2.4,13,2.5,30.7692,Doug,Hadley,Doug Hadley,Douglas Hadley,88
VGVhY2hlci0xODAxOTQ2,1801946,Baha,Balantekin,Physics,1.9,31,3.3,16.6667,Baha,Balantekin,Baha Balantekin,A. Balantekin,89
VGVhY2hlci0zMDU5MTA0,3059104,Noah,Stengl,Political Science,5.0,5,2.8,100.0,Noah,Stengl,Noah Stengl,,0
VGVhY2hlci0zMDYzNTAy,3063502,Moumita,Karmakar,Mathematics,1.1,49,4.4,4.1667,Moumita,Karmakar,Moumita Karmakar,,0
VGVhY2hlci0xMjQ4NTQ4,1248548,Andrea,Lang,Science,4.6,7,3.0,100.0,Andrea,Lang,Andrea Lang,Andrea Lang,100
VGVhY2hlci0xMjcxMjUw,1271250,Stanislav,Boldyrev,Physics,2.4,20,3.8,25.0,Stanislav,Boldyrev,Stanislav Boldyrev,Stanislav Boldyrev,100
VGVhY2hlci0zMDYzMjMz,3063233,Lars,Niedorf,Mathematics,4.7,6,3.5,66.6667,Lars,Niedorf,Lars Niedorf,Lars Niedorf,100
VGVhY2hlci0yNTkzMTkx,2593191,Rebecca,Glawtschew,Economics,2.6,68,3.7,45.5882,Rebecca,Glawtschew,Rebecca Glawtschew,Rebecca Glawtschew,100
VGVhY2hlci0zMDU2MzYy,3056362,Hina,Mahmood,Computer Science,4.6,28,2.8,89.2857,Hina,Mahmood,Hina Mahmood,Hina Mahmood,100
VGVhY2hlci0yOTAyMjcy,2902272,Brendan,Blackwell,Engineering,4.5,14,2.4,92.8571,Brendan,Blackwell,Brendan Blackwell,Brendan Blackwell,100
VGVhY2hlci0zMTEwMDk4,3110098,Jason,Rusch,Engineering,5.0,1,4.0,100.0,Jason,Rusch,Jason Rusch,,0
VGVhY2hlci01ODk2MjY=,589626,Korinna,Hansen,Economics,3.9,238,3.4,51.4286,Korinna,Hansen,Korinna Hansen,,0
VGVhY2hlci0yODM2NTUy,2836552,Fran,Flanagan,Economics,3.0,61,3.4,49.1803,Fran,Flanagan,Fran Flanagan,Fran Flanagan,100
VGVhY2hlci0xMjI1OTQy,1225942,Daniel,Quint,Economics,4.7,30,3.0,100.0,Daniel,Quint,Daniel Quint,Dan Quint,86
VGVhY2hlci0yNjMwMDk4,2630098,Ruyun (Ivy),Feng,Accounting,4.4,10,3.6,70.0,Ruyun,Feng,Ruyun Feng,,0
