section_id,course_id,subject_code,catalog_number,instructors,status,available_seats,waitlist_total,capacity,enrolled,meeting_time,location,instruction_mode,is_asynchronous
,,,,,OPEN,,,2,0,,Online,,
,,,,,OPEN,,,3,0,,Online,,
,,,,Matthew Digman,OPEN,,,2,1,,Online,,
,,,,"John Archambault, Stephanie Kann",OPEN,,,40,6,,OFF CAMPUS,,
,,,,,OPEN,,,40,14,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,50,1,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,50,18,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,30,7,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,10,0,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,100,3,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,10,1,,Online,,
,,,,"Stephanie Kann, Drew Graf",OPEN,,,100,37,,Online,,
,,,,"Stephanie Kann, Drew Graf",CLOSED,,,0,0,,Online,,
,,,,,CLOSED,,,12,12,,Mosse Humanities Building 1341,,
,,,,,CLOSED,,,12,12,,Mosse Humanities Building 1341,,
,,,,"Anthony Disanza, Todd Hammes",OPEN,,,8,7,,Mosse Humanities Building 1341,,
,,,,Scott Teeple,OPEN,,,50,0,,Hamel Music Center 1131,,
,,,,Corey Pompey,OPEN,,,80,0,,Hamel Music Center 1131,,
,,,,Corey Pompey,OPEN,,,330,0,,,,
,,,,"Herb Payung, Ben Grochowsky",OPEN,,,110,46,,Hamel Music Center 1131,,
,,,,"Herb Payung, R. Louis Vajda",OPEN,,,110,70,,Hamel Music Center 1131,,
,,,,"Corey Pompey, Herb Payung",OPEN,,,109,81,,Hamel Music Center 1131,,
,,,,Mariana De Oliveira Farah,OPEN,,,80,26,,Mosse Humanities Building 1351,,
,,,,Mariana De Oliveira Farah,OPEN,,,100,54,,Mosse Humanities Building 1351,,
,,,,"Bert Pinsonneault, Mariana De Oliveira Farah",OPEN,,,80,25,,Mosse Humanities Building 1351,,
,,,,Mariana De Oliveira Farah,OPEN,,,80,53,,Mosse Humanities Building 1351,,
,,,,Oriol Sans Arrufat,OPEN,,,110,76,,Hamel Music Center 1131,,
,,,,Oriol Sans Arrufat,CLOSED,,,110,111,,Hamel Music Center 1131,,
,,,,Oriol Sans Arrufat,OPEN,,,90,0,,Hamel Music Center 1131,,
,,,,Javier Calderon,OPEN,,,10,0,,Online,,
,,,,Ari Davidovsky,OPEN,,,50,49,,Van Vleck Hall B107,,
,,,,Ryan Tamura,OPEN,,,50,49,,Van Vleck Hall B107,,
,,,,Varun Gudibanda,OPEN,,,45,43,,Ingraham Hall 120,,
,,,,Antonio Nakid Cordero,CLOSED,,,45,45,,Computer Sciences 1325,,
,,,,Karthik Ravishankar,OPEN,,,45,42,,Van Vleck Hall B107,,
,,,,Qi Sun,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Ali Aligholi,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Boyana Martinova,CLOSED,,,45,45,,Ingraham Hall 120,,
,,,,Oh Hoon Kwon,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Oh Hoon Kwon,CLOSED,,,45,45,,Van Vleck Hall B107,,
,,,,Jia Hao Tan,OPEN,,,50,48,,Mechanical Engineering Building 1153,,
